dateday,season,year,month,holiday,day_of_week,workingday,weather_situation,temp,atemp,humidity,casual,registered,count,monthly_avg,weekday_avg,usage_cluster
2011-01-21,Spring,0,1,0,Friday,1,Clear,0.1775,0.157833,0.457083,75,1468,1543,2176.3387096774195,4690.288461538462,Low
2011-01-22,Spring,0,1,0,Saturday,0,Clear,0.0591304,0.0790696,0.4,93,888,981,2176.3387096774195,4550.542857142857,Low
2011-01-23,Spring,0,1,0,Sunday,0,Clear,0.0965217,0.0988391,0.436522,150,836,986,2176.3387096774195,4228.828571428571,Low
2011-01-24,Spring,0,1,0,Monday,1,Clear,0.0973913,0.11793,0.491739,86,1330,1416,2176.3387096774195,4338.1238095238095,Low
2011-01-25,Spring,0,1,0,Tuesday,1,Mist,0.223478,0.234526,0.616957,186,1799,1985,2176.3387096774195,4510.663461538462,Low
2011-01-26,Spring,0,1,0,Wednesday,1,Light Snow,0.2175,0.2036,0.8625,34,472,506,2176.3387096774195,4548.538461538462,Low
2011-01-27,Spring,0,1,0,Thursday,1,Clear,0.195,0.2197,0.6875,15,416,431,2176.3387096774195,4667.259615384615,Low
2011-01-28,Spring,0,1,0,Friday,1,Mist,0.203478,0.223317,0.793043,38,1129,1167,2176.3387096774195,4690.288461538462,Low
2011-01-29,Spring,0,1,0,Saturday,0,Clear,0.196522,0.212126,0.651739,123,975,1098,2176.3387096774195,4550.542857142857,Low
2011-01-30,Spring,0,1,0,Sunday,0,Clear,0.216522,0.250322,0.722174,140,956,1096,2176.3387096774195,4228.828571428571,Low
2011-01-31,Spring,0,1,0,Monday,1,Mist,0.180833,0.18625,0.60375,42,1459,1501,2176.3387096774195,4338.1238095238095,Low
2011-02-01,Spring,0,2,0,Tuesday,1,Mist,0.192174,0.23453,0.829565,47,1313,1360,2655.2982456140353,4510.663461538462,Low
2011-02-02,Spring,0,2,0,Wednesday,1,Mist,0.26,0.254417,0.775417,72,1454,1526,2655.2982456140353,4548.538461538462,Low
2011-02-03,Spring,0,2,0,Thursday,1,Clear,0.186957,0.177878,0.437826,61,1489,1550,2655.2982456140353,4667.259615384615,Low
2011-02-04,Spring,0,2,0,Friday,1,Mist,0.211304,0.228587,0.585217,88,1620,1708,2655.2982456140353,4690.288461538462,Low
2011-02-05,Spring,0,2,0,Saturday,0,Mist,0.233333,0.243058,0.929167,100,905,1005,2655.2982456140353,4550.542857142857,Low
2011-02-06,Spring,0,2,0,Sunday,0,Clear,0.285833,0.291671,0.568333,354,1269,1623,2655.2982456140353,4228.828571428571,Low
2011-02-07,Spring,0,2,0,Monday,1,Clear,0.271667,0.303658,0.738333,120,1592,1712,2655.2982456140353,4338.1238095238095,Low
2011-02-08,Spring,0,2,0,Tuesday,1,Clear,0.220833,0.198246,0.537917,64,1466,1530,2655.2982456140353,4510.663461538462,Low
2011-02-09,Spring,0,2,0,Wednesday,1,Mist,0.134783,0.144283,0.494783,53,1552,1605,2655.2982456140353,4548.538461538462,Low
2011-02-10,Spring,0,2,0,Thursday,1,Clear,0.144348,0.149548,0.437391,47,1491,1538,2655.2982456140353,4667.259615384615,Low
2011-02-11,Spring,0,2,0,Friday,1,Clear,0.189091,0.213509,0.506364,149,1597,1746,2655.2982456140353,4690.288461538462,Low
2011-02-12,Spring,0,2,0,Saturday,0,Clear,0.2225,0.232954,0.544167,288,1184,1472,2655.2982456140353,4550.542857142857,Low
2011-02-13,Spring,0,2,0,Sunday,0,Clear,0.316522,0.324113,0.457391,397,1192,1589,2655.2982456140353,4228.828571428571,Low
2011-02-14,Spring,0,2,0,Monday,1,Clear,0.415,0.39835,0.375833,208,1705,1913,2655.2982456140353,4338.1238095238095,Low
2011-02-15,Spring,0,2,0,Tuesday,1,Clear,0.266087,0.254274,0.314348,140,1675,1815,2655.2982456140353,4510.663461538462,Low
2011-02-16,Spring,0,2,0,Wednesday,1,Clear,0.318261,0.3162,0.423478,218,1897,2115,2655.2982456140353,4548.538461538462,Low
2011-02-17,Spring,0,2,0,Thursday,1,Clear,0.435833,0.428658,0.505,259,2216,2475,2655.2982456140353,4667.259615384615,Medium
2011-02-18,Spring,0,2,0,Friday,1,Clear,0.521667,0.511983,0.516667,579,2348,2927,2655.2982456140353,4690.288461538462,Medium
2011-02-19,Spring,0,2,0,Saturday,0,Clear,0.399167,0.391404,0.187917,532,1103,1635,2655.2982456140353,4550.542857142857,Low
2011-02-20,Spring,0,2,0,Sunday,0,Clear,0.285217,0.27733,0.407826,639,1173,1812,2655.2982456140353,4228.828571428571,Low
2011-02-21,Spring,0,2,1,Monday,0,Mist,0.303333,0.284075,0.605,195,912,1107,2655.2982456140353,4338.1238095238095,Low
2011-02-22,Spring,0,2,0,Tuesday,1,Clear,0.182222,0.186033,0.577778,74,1376,1450,2655.2982456140353,4510.663461538462,Low
2011-02-23,Spring,0,2,0,Wednesday,1,Clear,0.221739,0.245717,0.423043,139,1778,1917,2655.2982456140353,4548.538461538462,Low
2011-02-24,Spring,0,2,0,Thursday,1,Mist,0.295652,0.289191,0.697391,100,1707,1807,2655.2982456140353,4667.259615384615,Low
2011-02-25,Spring,0,2,0,Friday,1,Mist,0.364348,0.350461,0.712174,120,1341,1461,2655.2982456140353,4690.288461538462,Low
2011-02-26,Spring,0,2,0,Saturday,0,Clear,0.2825,0.282192,0.537917,424,1545,1969,2655.2982456140353,4550.542857142857,Low
2011-02-27,Spring,0,2,0,Sunday,0,Clear,0.343478,0.351109,0.68,694,1708,2402,2655.2982456140353,4228.828571428571,Medium
2011-02-28,Spring,0,2,0,Monday,1,Mist,0.407273,0.400118,0.876364,81,1365,1446,2655.2982456140353,4338.1238095238095,Low
2011-03-01,Spring,0,3,0,Tuesday,1,Clear,0.266667,0.263879,0.535,137,1714,1851,3692.2580645161293,4510.663461538462,Low
2011-03-02,Spring,0,3,0,Wednesday,1,Clear,0.335,0.320071,0.449583,231,1903,2134,3692.2580645161293,4548.538461538462,Low
2011-03-03,Spring,0,3,0,Thursday,1,Clear,0.198333,0.200133,0.318333,123,1562,1685,3692.2580645161293,4667.259615384615,Low
2011-03-04,Spring,0,3,0,Friday,1,Mist,0.261667,0.255679,0.610417,214,1730,1944,3692.2580645161293,4690.288461538462,Low
2011-03-05,Spring,0,3,0,Saturday,0,Mist,0.384167,0.378779,0.789167,640,1437,2077,3692.2580645161293,4550.542857142857,Low
2011-03-06,Spring,0,3,0,Sunday,0,Mist,0.376522,0.366252,0.948261,114,491,605,3692.2580645161293,4228.828571428571,Low
2011-03-07,Spring,0,3,0,Monday,1,Clear,0.261739,0.238461,0.551304,244,1628,1872,3692.2580645161293,4338.1238095238095,Low
2011-03-08,Spring,0,3,0,Tuesday,1,Clear,0.2925,0.3024,0.420833,316,1817,2133,3692.2580645161293,4510.663461538462,Low
2011-03-09,Spring,0,3,0,Wednesday,1,Mist,0.295833,0.286608,0.775417,191,1700,1891,3692.2580645161293,4548.538461538462,Low
2011-03-10,Spring,0,3,0,Thursday,1,Light Snow,0.389091,0.385668,0.0,46,577,623,3692.2580645161293,4667.259615384615,Low
2011-03-11,Spring,0,3,0,Friday,1,Mist,0.316522,0.305,0.649565,247,1730,1977,3692.2580645161293,4690.288461538462,Low
2011-03-12,Spring,0,3,0,Saturday,0,Clear,0.329167,0.32575,0.594583,724,1408,2132,3692.2580645161293,4550.542857142857,Low
2011-03-13,Spring,0,3,0,Sunday,0,Clear,0.384348,0.380091,0.527391,982,1435,2417,3692.2580645161293,4228.828571428571,Medium
2011-03-14,Spring,0,3,0,Monday,1,Clear,0.325217,0.332,0.496957,359,1687,2046,3692.2580645161293,4338.1238095238095,Low
2011-03-15,Spring,0,3,0,Tuesday,1,Mist,0.317391,0.318178,0.655652,289,1767,2056,3692.2580645161293,4510.663461538462,Low
2011-03-16,Spring,0,3,0,Wednesday,1,Mist,0.365217,0.36693,0.776522,321,1871,2192,3692.2580645161293,4548.538461538462,Low
2011-03-17,Spring,0,3,0,Thursday,1,Clear,0.415,0.410333,0.602917,424,2320,2744,3692.2580645161293,4667.259615384615,Medium
2011-03-18,Spring,0,3,0,Friday,1,Clear,0.54,0.527009,0.525217,884,2355,3239,3692.2580645161293,4690.288461538462,Medium
2011-03-19,Spring,0,3,0,Saturday,0,Clear,0.4725,0.466525,0.379167,1424,1693,3117,3692.2580645161293,4550.542857142857,Medium
2011-03-20,Spring,0,3,0,Sunday,0,Clear,0.3325,0.32575,0.47375,1047,1424,2471,3692.2580645161293,4228.828571428571,Medium
2011-03-21,Summer,0,3,0,Monday,1,Mist,0.430435,0.409735,0.737391,401,1676,2077,3692.2580645161293,4338.1238095238095,Low
2011-03-22,Summer,0,3,0,Tuesday,1,Clear,0.441667,0.440642,0.624583,460,2243,2703,3692.2580645161293,4510.663461538462,Medium
2011-03-23,Summer,0,3,0,Wednesday,1,Mist,0.346957,0.337939,0.839565,203,1918,2121,3692.2580645161293,4548.538461538462,Low
2011-03-24,Summer,0,3,0,Thursday,1,Mist,0.285,0.270833,0.805833,166,1699,1865,3692.2580645161293,4667.259615384615,Low
2011-03-25,Summer,0,3,0,Friday,1,Clear,0.264167,0.256312,0.495,300,1910,2210,3692.2580645161293,4690.288461538462,Medium
2011-03-26,Summer,0,3,0,Saturday,0,Clear,0.265833,0.257571,0.394167,981,1515,2496,3692.2580645161293,4550.542857142857,Medium
2011-03-27,Summer,0,3,0,Sunday,0,Mist,0.253043,0.250339,0.493913,472,1221,1693,3692.2580645161293,4228.828571428571,Low
2011-03-28,Summer,0,3,0,Monday,1,Clear,0.264348,0.257574,0.302174,222,1806,2028,3692.2580645161293,4338.1238095238095,Low
2011-03-29,Summer,0,3,0,Tuesday,1,Clear,0.3025,0.292908,0.314167,317,2108,2425,3692.2580645161293,4510.663461538462,Medium
2011-03-30,Summer,0,3,0,Wednesday,1,Mist,0.3,0.29735,0.646667,168,1368,1536,3692.2580645161293,4548.538461538462,Low
2011-03-31,Summer,0,3,0,Thursday,1,Light Snow,0.268333,0.257575,0.918333,179,1506,1685,3692.2580645161293,4667.259615384615,Low
2011-04-01,Summer,0,4,0,Friday,1,Mist,0.3,0.283454,0.68625,307,1920,2227,4484.9,4690.288461538462,Medium
2011-04-02,Summer,0,4,0,Saturday,0,Mist,0.315,0.315637,0.65375,898,1354,2252,4484.9,4550.542857142857,Medium
2011-04-03,Summer,0,4,0,Sunday,0,Clear,0.378333,0.378767,0.48,1651,1598,3249,4484.9,4228.828571428571,Medium
2011-04-04,Summer,0,4,0,Monday,1,Clear,0.573333,0.542929,0.42625,734,2381,3115,4484.9,4338.1238095238095,Medium
2011-04-05,Summer,0,4,0,Tuesday,1,Mist,0.414167,0.39835,0.642083,167,1628,1795,4484.9,4510.663461538462,Low
2011-04-06,Summer,0,4,0,Wednesday,1,Clear,0.390833,0.387608,0.470833,413,2395,2808,4484.9,4548.538461538462,Medium
2011-04-07,Summer,0,4,0,Thursday,1,Clear,0.4375,0.433696,0.602917,571,2570,3141,4484.9,4667.259615384615,Medium
2011-04-08,Summer,0,4,0,Friday,1,Mist,0.335833,0.324479,0.83625,172,1299,1471,4484.9,4690.288461538462,Low
2011-04-09,Summer,0,4,0,Saturday,0,Mist,0.3425,0.341529,0.8775,879,1576,2455,4484.9,4550.542857142857,Medium
2011-04-10,Summer,0,4,0,Sunday,0,Mist,0.426667,0.426737,0.8575,1188,1707,2895,4484.9,4228.828571428571,Medium
2011-04-11,Summer,0,4,0,Monday,1,Mist,0.595652,0.565217,0.716956,855,2493,3348,4484.9,4338.1238095238095,Medium
2011-04-12,Summer,0,4,0,Tuesday,1,Mist,0.5025,0.493054,0.739167,257,1777,2034,4484.9,4510.663461538462,Low
2011-04-13,Summer,0,4,0,Wednesday,1,Mist,0.4125,0.417283,0.819167,209,1953,2162,4484.9,4548.538461538462,Low
2011-04-14,Summer,0,4,0,Thursday,1,Clear,0.4675,0.462742,0.540417,529,2738,3267,4484.9,4667.259615384615,Medium
2011-04-15,Summer,0,4,1,Friday,0,Clear,0.446667,0.441913,0.67125,642,2484,3126,4484.9,4690.288461538462,Medium
2011-04-16,Summer,0,4,0,Saturday,0,Light Snow,0.430833,0.425492,0.888333,121,674,795,4484.9,4550.542857142857,Low
2011-04-17,Summer,0,4,0,Sunday,0,Clear,0.456667,0.445696,0.479583,1558,2186,3744,4484.9,4228.828571428571,Medium
2011-04-18,Summer,0,4,0,Monday,1,Clear,0.5125,0.503146,0.5425,669,2760,3429,4484.9,4338.1238095238095,Medium
2011-04-19,Summer,0,4,0,Tuesday,1,Mist,0.505833,0.489258,0.665833,409,2795,3204,4484.9,4510.663461538462,Medium
2011-04-20,Summer,0,4,0,Wednesday,1,Clear,0.595,0.564392,0.614167,613,3331,3944,4484.9,4548.538461538462,Medium
2011-04-21,Summer,0,4,0,Thursday,1,Clear,0.459167,0.453892,0.407083,745,3444,4189,4484.9,4667.259615384615,Medium
2011-04-22,Summer,0,4,0,Friday,1,Mist,0.336667,0.321954,0.729583,177,1506,1683,4484.9,4690.288461538462,Low
2011-04-23,Summer,0,4,0,Saturday,0,Mist,0.46,0.450121,0.887917,1462,2574,4036,4484.9,4550.542857142857,Medium
2011-04-24,Summer,0,4,0,Sunday,0,Mist,0.581667,0.551763,0.810833,1710,2481,4191,4484.9,4228.828571428571,Medium
2011-04-25,Summer,0,4,0,Monday,1,Clear,0.606667,0.5745,0.776667,773,3300,4073,4484.9,4338.1238095238095,Medium
2011-04-26,Summer,0,4,0,Tuesday,1,Clear,0.631667,0.594083,0.729167,678,3722,4400,4484.9,4510.663461538462,High
2011-04-27,Summer,0,4,0,Wednesday,1,Mist,0.62,0.575142,0.835417,547,3325,3872,4484.9,4548.538461538462,Medium
2011-04-28,Summer,0,4,0,Thursday,1,Mist,0.6175,0.578929,0.700833,569,3489,4058,4484.9,4667.259615384615,Medium
2011-04-29,Summer,0,4,0,Friday,1,Clear,0.51,0.497463,0.457083,878,3717,4595,4484.9,4690.288461538462,High
2011-04-30,Summer,0,4,0,Saturday,0,Clear,0.4725,0.464021,0.503333,1965,3347,5312,4484.9,4550.542857142857,High
2011-05-01,Summer,0,5,0,Sunday,0,Mist,0.451667,0.448204,0.762083,1138,2213,3351,5349.774193548387,4228.828571428571,Medium
2011-05-02,Summer,0,5,0,Monday,1,Mist,0.549167,0.532833,0.73,847,3554,4401,5349.774193548387,4338.1238095238095,High
2011-05-03,Summer,0,5,0,Tuesday,1,Mist,0.616667,0.582079,0.697083,603,3848,4451,5349.774193548387,4510.663461538462,High
2011-05-04,Summer,0,5,0,Wednesday,1,Mist,0.414167,0.40465,0.737083,255,2378,2633,5349.774193548387,4548.538461538462,Medium
2011-05-05,Summer,0,5,0,Thursday,1,Clear,0.459167,0.441917,0.444167,614,3819,4433,5349.774193548387,4667.259615384615,High
2011-05-06,Summer,0,5,0,Friday,1,Clear,0.479167,0.474117,0.59,894,3714,4608,5349.774193548387,4690.288461538462,High
2011-05-07,Summer,0,5,0,Saturday,0,Clear,0.52,0.512621,0.54125,1612,3102,4714,5349.774193548387,4550.542857142857,High
2011-05-08,Summer,0,5,0,Sunday,0,Clear,0.528333,0.518933,0.631667,1401,2932,4333,5349.774193548387,4228.828571428571,Medium
2011-05-09,Summer,0,5,0,Monday,1,Clear,0.5325,0.525246,0.58875,664,3698,4362,5349.774193548387,4338.1238095238095,Medium
2011-05-10,Summer,0,5,0,Tuesday,1,Clear,0.5325,0.522721,0.489167,694,4109,4803,5349.774193548387,4510.663461538462,High
2011-05-11,Summer,0,5,0,Wednesday,1,Clear,0.5425,0.5284,0.632917,550,3632,4182,5349.774193548387,4548.538461538462,Medium
2011-05-12,Summer,0,5,0,Thursday,1,Clear,0.535,0.523363,0.7475,695,4169,4864,5349.774193548387,4667.259615384615,High
2011-05-13,Summer,0,5,0,Friday,1,Mist,0.5125,0.4943,0.863333,692,3413,4105,5349.774193548387,4690.288461538462,Medium
2011-05-14,Summer,0,5,0,Saturday,0,Mist,0.520833,0.500629,0.9225,902,2507,3409,5349.774193548387,4550.542857142857,Medium
2011-05-15,Summer,0,5,0,Sunday,0,Mist,0.5625,0.536,0.867083,1582,2971,4553,5349.774193548387,4228.828571428571,High
2011-05-16,Summer,0,5,0,Monday,1,Clear,0.5775,0.550512,0.787917,773,3185,3958,5349.774193548387,4338.1238095238095,Medium
2011-05-17,Summer,0,5,0,Tuesday,1,Mist,0.561667,0.538529,0.837917,678,3445,4123,5349.774193548387,4510.663461538462,Medium
2011-05-18,Summer,0,5,0,Wednesday,1,Mist,0.55,0.527158,0.87,536,3319,3855,5349.774193548387,4548.538461538462,Medium
2011-05-19,Summer,0,5,0,Thursday,1,Mist,0.530833,0.510742,0.829583,735,3840,4575,5349.774193548387,4667.259615384615,High
2011-05-20,Summer,0,5,0,Friday,1,Clear,0.536667,0.529042,0.719583,909,4008,4917,5349.774193548387,4690.288461538462,High
2011-05-21,Summer,0,5,0,Saturday,0,Clear,0.6025,0.571975,0.626667,2258,3547,5805,5349.774193548387,4550.542857142857,High
2011-05-22,Summer,0,5,0,Sunday,0,Clear,0.604167,0.5745,0.749583,1576,3084,4660,5349.774193548387,4228.828571428571,High
2011-05-23,Summer,0,5,0,Monday,1,Mist,0.631667,0.590296,0.81,836,3438,4274,5349.774193548387,4338.1238095238095,Medium
2011-05-24,Summer,0,5,0,Tuesday,1,Mist,0.66,0.604813,0.740833,659,3833,4492,5349.774193548387,4510.663461538462,High
2011-05-25,Summer,0,5,0,Wednesday,1,Clear,0.660833,0.615542,0.69625,740,4238,4978,5349.774193548387,4548.538461538462,High
2011-05-26,Summer,0,5,0,Thursday,1,Clear,0.708333,0.654688,0.6775,758,3919,4677,5349.774193548387,4667.259615384615,High
2011-05-27,Summer,0,5,0,Friday,1,Clear,0.681667,0.637008,0.65375,871,3808,4679,5349.774193548387,4690.288461538462,High
2011-05-28,Summer,0,5,0,Saturday,0,Clear,0.655833,0.612379,0.729583,2001,2757,4758,5349.774193548387,4550.542857142857,High
2011-05-29,Summer,0,5,0,Sunday,0,Clear,0.6675,0.61555,0.81875,2355,2433,4788,5349.774193548387,4228.828571428571,High
2011-05-30,Summer,0,5,1,Monday,0,Clear,0.733333,0.671092,0.685,1549,2549,4098,5349.774193548387,4338.1238095238095,Medium
2011-05-31,Summer,0,5,0,Tuesday,1,Clear,0.775,0.725383,0.636667,673,3309,3982,5349.774193548387,4510.663461538462,Medium
2011-06-01,Summer,0,6,0,Wednesday,1,Mist,0.764167,0.720967,0.677083,513,3461,3974,5772.366666666667,4548.538461538462,Medium
2011-06-02,Summer,0,6,0,Thursday,1,Clear,0.715,0.643942,0.305,736,4232,4968,5772.366666666667,4667.259615384615,High
2011-06-03,Summer,0,6,0,Friday,1,Clear,0.62,0.587133,0.354167,898,4414,5312,5772.366666666667,4690.288461538462,High
2011-06-04,Summer,0,6,0,Saturday,0,Clear,0.635,0.594696,0.45625,1869,3473,5342,5772.366666666667,4550.542857142857,High
2011-06-05,Summer,0,6,0,Sunday,0,Mist,0.648333,0.616804,0.6525,1685,3221,4906,5772.366666666667,4228.828571428571,High
2011-06-06,Summer,0,6,0,Monday,1,Clear,0.678333,0.621858,0.6,673,3875,4548,5772.366666666667,4338.1238095238095,High
2011-06-07,Summer,0,6,0,Tuesday,1,Clear,0.7075,0.65595,0.597917,763,4070,4833,5772.366666666667,4510.663461538462,High
2011-06-08,Summer,0,6,0,Wednesday,1,Clear,0.775833,0.727279,0.622083,676,3725,4401,5772.366666666667,4548.538461538462,High
2011-06-09,Summer,0,6,0,Thursday,1,Mist,0.808333,0.757579,0.568333,563,3352,3915,5772.366666666667,4667.259615384615,Medium
2011-06-10,Summer,0,6,0,Friday,1,Clear,0.755,0.703292,0.605,815,3771,4586,5772.366666666667,4690.288461538462,High
2011-06-11,Summer,0,6,0,Saturday,0,Clear,0.725,0.678038,0.654583,1729,3237,4966,5772.366666666667,4550.542857142857,High
2011-06-12,Summer,0,6,0,Sunday,0,Clear,0.6925,0.643325,0.747917,1467,2993,4460,5772.366666666667,4228.828571428571,High
2011-06-13,Summer,0,6,0,Monday,1,Clear,0.635,0.601654,0.494583,863,4157,5020,5772.366666666667,4338.1238095238095,High
2011-06-14,Summer,0,6,0,Tuesday,1,Clear,0.604167,0.591546,0.507083,727,4164,4891,5772.366666666667,4510.663461538462,High
2011-06-15,Summer,0,6,0,Wednesday,1,Clear,0.626667,0.587754,0.471667,769,4411,5180,5772.366666666667,4548.538461538462,High
2011-06-16,Summer,0,6,0,Thursday,1,Mist,0.628333,0.595346,0.688333,545,3222,3767,5772.366666666667,4667.259615384615,Medium
2011-06-17,Summer,0,6,0,Friday,1,Clear,0.649167,0.600383,0.735833,863,3981,4844,5772.366666666667,4690.288461538462,High
2011-06-18,Summer,0,6,0,Saturday,0,Clear,0.696667,0.643954,0.670417,1807,3312,5119,5772.366666666667,4550.542857142857,High
2011-06-19,Summer,0,6,0,Sunday,0,Mist,0.699167,0.645846,0.666667,1639,3105,4744,5772.366666666667,4228.828571428571,High
2011-06-20,Summer,0,6,0,Monday,1,Mist,0.635,0.595346,0.74625,699,3311,4010,5772.366666666667,4338.1238095238095,Medium
2011-06-21,Fall,0,6,0,Tuesday,1,Mist,0.680833,0.637646,0.770417,774,4061,4835,5772.366666666667,4510.663461538462,High
2011-06-22,Fall,0,6,0,Wednesday,1,Clear,0.733333,0.693829,0.7075,661,3846,4507,5772.366666666667,4548.538461538462,High
2011-06-23,Fall,0,6,0,Thursday,1,Mist,0.728333,0.693833,0.703333,746,4044,4790,5772.366666666667,4667.259615384615,High
2011-06-24,Fall,0,6,0,Friday,1,Clear,0.724167,0.656583,0.573333,969,4022,4991,5772.366666666667,4690.288461538462,High
2011-06-25,Fall,0,6,0,Saturday,0,Clear,0.695,0.643313,0.483333,1782,3420,5202,5772.366666666667,4550.542857142857,High
2011-06-26,Fall,0,6,0,Sunday,0,Clear,0.68,0.637629,0.513333,1920,3385,5305,5772.366666666667,4228.828571428571,High
2011-06-27,Fall,0,6,0,Monday,1,Mist,0.6825,0.637004,0.658333,854,3854,4708,5772.366666666667,4338.1238095238095,High
2011-06-28,Fall,0,6,0,Tuesday,1,Clear,0.744167,0.692558,0.634167,732,3916,4648,5772.366666666667,4510.663461538462,High
2011-06-29,Fall,0,6,0,Wednesday,1,Clear,0.728333,0.654688,0.497917,848,4377,5225,5772.366666666667,4548.538461538462,High
2011-06-30,Fall,0,6,0,Thursday,1,Clear,0.696667,0.637008,0.434167,1027,4488,5515,5772.366666666667,4667.259615384615,High
2011-07-01,Fall,0,7,0,Friday,1,Clear,0.7225,0.652162,0.39625,1246,4116,5362,5563.677419354839,4690.288461538462,High
2011-07-02,Fall,0,7,0,Saturday,0,Clear,0.738333,0.667308,0.444583,2204,2915,5119,5563.677419354839,4550.542857142857,High
2011-07-03,Fall,0,7,0,Sunday,0,Mist,0.716667,0.668575,0.6825,2282,2367,4649,5563.677419354839,4228.828571428571,High
2011-07-04,Fall,0,7,1,Monday,0,Mist,0.726667,0.665417,0.637917,3065,2978,6043,5563.677419354839,4338.1238095238095,High
2011-07-05,Fall,0,7,0,Tuesday,1,Clear,0.746667,0.696338,0.590417,1031,3634,4665,5563.677419354839,4510.663461538462,High
2011-07-06,Fall,0,7,0,Wednesday,1,Clear,0.72,0.685633,0.743333,784,3845,4629,5563.677419354839,4548.538461538462,High
2011-07-07,Fall,0,7,0,Thursday,1,Clear,0.75,0.686871,0.65125,754,3838,4592,5563.677419354839,4667.259615384615,High
2011-07-08,Fall,0,7,0,Friday,1,Mist,0.709167,0.670483,0.757917,692,3348,4040,5563.677419354839,4690.288461538462,Medium
2011-07-09,Fall,0,7,0,Saturday,0,Clear,0.733333,0.664158,0.609167,1988,3348,5336,5563.677419354839,4550.542857142857,High
2011-07-10,Fall,0,7,0,Sunday,0,Clear,0.7475,0.690025,0.578333,1743,3138,4881,5563.677419354839,4228.828571428571,High
2011-07-11,Fall,0,7,0,Monday,1,Clear,0.7625,0.729804,0.635833,723,3363,4086,5563.677419354839,4338.1238095238095,Medium
2011-07-12,Fall,0,7,0,Tuesday,1,Clear,0.794167,0.739275,0.559167,662,3596,4258,5563.677419354839,4510.663461538462,Medium
2011-07-13,Fall,0,7,0,Wednesday,1,Clear,0.746667,0.689404,0.631667,748,3594,4342,5563.677419354839,4548.538461538462,Medium
2011-07-14,Fall,0,7,0,Thursday,1,Clear,0.680833,0.635104,0.47625,888,4196,5084,5563.677419354839,4667.259615384615,High
2011-07-15,Fall,0,7,0,Friday,1,Clear,0.663333,0.624371,0.59125,1318,4220,5538,5563.677419354839,4690.288461538462,High
2011-07-16,Fall,0,7,0,Saturday,0,Clear,0.686667,0.638263,0.585,2418,3505,5923,5563.677419354839,4550.542857142857,High
2011-07-17,Fall,0,7,0,Sunday,0,Clear,0.719167,0.669833,0.604167,2006,3296,5302,5563.677419354839,4228.828571428571,High
